"","glottocode","GB136","GB116","GB297","GB260","GB522","GB099","GB415","GB410","GB409","GB408","GB403","GB402","GB401","GB336","GB335","GB334","GB333","GB331","GB328","GB327","GB326","GB325","GB324","GB313","GB177","GB098","GB301","GB300","GB299","GB298","GB096","GB296","GB257","GB273","GB270","GB266","GB265","GB095","GB256","GB250","GB204","GB197","GB196","GB167","GB159","GB158","GB156","GB155","GB152","GB151","GB150","GB146","GB140","GB139","GB138","GB137","GB135","GB134","GB133","GB132","GB131","GB129","GB127","GB126","GB124","GB123","GB122","GB118","GB117","GB113","GB109","GB108","GB149","GB104","GB103","GB105","GB111","GB107","GB081","GB069","GB068","GB059","GB058","GB049","GB048","GB047","GB046","GB037","GB036","GB035","GB031","GB030","GB028","GB027","GB026","GB110c","GB309c","GB501drm","GB500drm","GB777drm","GB084c","GB083c","GB082c","GB323c","GB322c","GB595m","GB559drm","GB558drm","GB557drm","GB622drmc","GB621drmc","GB620drmc","GB624drmc","GB623drmc","GB625m","GB330c","GB329c","GB606m","GB853drm","GB852drm","GB851drm","GB850drm","GB433c","GB431c","GB591m","GB432c","GB430c","GB590m","GB254c","GB253c","GB252c","GB251m","GB264c","GB263c","GB262c","GB285cc","GB291c","GB286c","GB950m","GB947mc","GB949m","GB304c","GB302c","GB147c","GB555m","GB041c","GB039c","GB991drmc","GB990drmc","GB955drmc","GB954drmc","GB953drmc","GB952drmc","GB951drmc","GB945m","GB192c","GB321c","GB054c","GB053c","GB052c","GB051c","GB551m","GB704drm","GB703drmc","GB702drm","GB701drm","GB422c","GB421c","GB510m","GB276c","GB275c","GB800m","GB057c","GB038c","GB552m","GB888drmc","GB887drmc","GB553drmc","GB549drmc","GB480m","GB023c","GB022c","GB021c","GB020c","GB550m","GB303c","GB148c","GB556m","GB561drmc","GB198c","GB560drmc","GB569drmc","GB567drm","GB568drm","GB075c","GB074c","GB563m","GB130ri","GB203ri","GB193ri","GB065ri","GB025ri","GB024ri"
"1018","koon1244","1","0","?","?","?","0","?","?","?","?","?","?","?","0","0","0","1","?","0","1","0","0","0","1","0","1","?","?","1","0","0","?","?","0","0","0","1","0","1","0","0","0","0","0","1","1","0","1","0","0","0","0","?","1","1","1","1","1","0","1","0","0","0","1","0","?","0","0","1","1","0","1","0","1","1","?","0","1","0","1","1","0","0","1","1","1","1","0","0","1","0","1","0","0","0","0","1","?","?","1","0","1","1",NA,NA,"0","?","1","1","1","1","1","1","1","1",NA,NA,"?","0","1","1","1",NA,NA,"?",NA,NA,"?",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"?",NA,"?","1","0","1","1","0","1","1","0","1","0","0","0","1","1","0","0","1","1","0","0","1","1","1","1","1",NA,NA,"?",NA,NA,"0",NA,NA,"0","1","1","1","1","1","0","1","0","1","1",NA,NA,"0","1","1","1","1","1","1","0","1","1","1","2","2","2","2","2"
"1019","koon1245","?","0","0","0","1","0","0","1","0","0","?","?","?","?","1","0","1","?","0","1","1","?","0","1","0","0","0","?","0","0","0","?","1","?","?","?","?","0","1","0","0","0","0","0","?","?","?","?","?","0","1","?","?","?","?","0","1","1","0","1","0","0","0","?","?","?","0","1","1","?","0","?","0","?","?","1","0","1","?","0","0","0","0","?","?","?","0","0","0","0","0","1","1","1","?","0","1","1","1","?",NA,NA,NA,NA,NA,"?","1","0","1",NA,NA,NA,NA,NA,"0",NA,NA,"0","0","?","?","?",NA,NA,"0","0","1","1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,"0",NA,NA,NA,"?","0","0","1","0","1","0","0","0","1","1","0","0","1","1","0","0","1","?","?","?","?",NA,NA,"0",NA,NA,"?",NA,NA,"?",NA,NA,NA,NA,"0",NA,NA,NA,NA,"?",NA,NA,"?","1","1","1",NA,"1","1","0","1","1","1","2","?","2","2","2"
"1020","koor1239","0","0","0","0","?","0","0","0","0","1","0","0","?","?","?","?","?","0","1","0","1","1","0","1","0","0","0","0","0","1","0","0","0","?","?","?","?","0","0","1","1","0","0","0","0","?","0","1","0","0","?","?","1","1","0","1","1","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","?","1","?","0","0","1","1","0","1","1","1","0","0","1","0","1","1","0","1","1",NA,NA,"0","1","1","1","0","1","1","1","0","1",NA,NA,"0","1","1","1","1",NA,NA,"0","1","0","1",NA,NA,NA,"0",NA,NA,NA,NA,"0","1","0","1","1","1","0","1","1","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","1","1","1","0","0","1","1","0","1",NA,NA,"?",NA,NA,"0","1","1","1","1","1","?","0","0","1","1",NA,NA,"0","1","0","1","0","1","1",NA,NA,"?","1","2","2","1","1","NA"
"1021","kora1294","0","0","?","?","?","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","1","0","1","1","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","1","0","0","1","1","0","1","1","0","1","?","?","1","1","1","1","1",NA,NA,"?","1","?","1","0","1","1","1","0","1",NA,NA,"?","?","0","?","?",NA,NA,"?",NA,NA,"?",NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,"?",NA,"?",NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,"?","?",NA,"?","?",NA,NA,"?",NA,NA,"?",NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"?",NA,NA,"?",NA,NA,NA,NA,"?","?","1","0","1","1","?","?","1","2","2"
"1022","kore1280","0","0","0","0","1","0","1","1","?","1","?","?","?","0","0","0","1","0","1","0","1","1","0","0","0","0","0","?","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","1","1","0","1","1","0","1","0","0","1","0","0","1","1","1","0","0","0","?","1","1","1","1","0","1","1","?","0","0","0","0","1","1","1","0","1","1","0","0","1","1","1","1","0","0","1","0","0","0","1","?","?","1","0","1","1","1","1","0","0","1","1","1","1","1",NA,NA,NA,NA,NA,"0","0","1","1","1","1","1","1",NA,NA,"0","1","0","1","1","0","1","1","0","1","0","0","0","1","1","1","1","1","0","1","1","0","?","1","0","1","0","0","0","0","1",NA,NA,NA,NA,NA,NA,"0","1",NA,"0","1","1","0","1","1","0","1","1","0","1","1","1","1","1","1",NA,NA,NA,NA,"0",NA,NA,"0","0",NA,NA,NA,"0","0","1","0","1","1","2","1","1","1","2"
"1023","kore1283","0","?","?","0","?","?","0","?","?","1","?","?","?","?","?","1","0","0","0","1","0","?","?","?","?","?","?","?","0","0","?","?","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","1","1","1","?","?","0","?","?","?","?","0","0","1","?","?","?","1","0","0","0","1","?","0","1","?","0","?","?","?","1","?","?","0","0","0","0","0","0","1","?","?","0","?","?","1","0","?","0","0","?","?","1","1","1","0","1","0","1","?","?","1",NA,NA,NA,NA,NA,"?",NA,NA,"0","?","?","?","?","0","1","1",NA,NA,"0",NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,"?",NA,"?","?","?","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"?","?","?","?","?","1","?","1","?","?","?","?",NA,NA,"?",NA,NA,"?",NA,NA,"?",NA,NA,NA,NA,"?","?","?","1","?","1",NA,NA,"?",NA,"?","1","?","1","?",NA,NA,"?","?","?","2","1","1","2"
"1024","kork1243","0","?","0","0","?","0","?","?","?","?","?","?","?","0","0","0","?","0","0","0","?","?","?","0","1","0","0","0","0","1","0","0","?","?","?","?","?","0","0","0","?","0","0","0","?","1","0","0","?","?","?","?","0","1","0","1","?","1","1","0","0","0","0","?","0","?","1","?","?","1","0","1","0","0","1","?","1","1","?","?","?","1","0","?","?","?","?","0","0","1","1","0","1","1","0","0","0","?","?","1","0","1","0",NA,NA,"?","1","1","1","1","1","1","1","0","1","1","1","1","?","1","1","?",NA,NA,"?",NA,NA,"?","0","0","1","1","0","1","0","0","0","1","1","1","1","?","0","1","1","0","0","1","0","1","0","0","1","1","1",NA,NA,NA,NA,NA,NA,"0","?",NA,"?","?",NA,NA,"?",NA,NA,"?","0","1","1","1","1","1","1","1",NA,NA,NA,NA,"?",NA,NA,"0","?",NA,NA,NA,"0","?",NA,NA,"0","1","?","1","1","1","1"
"1025","koro1298","1","0","0","0","0","0","1","1","0","0","0","0","?","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","1","?","0","1","0","0","1","1","0","1","0","0","0","1","0","?","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","?","1","0","0","1","1","0","1","0",NA,NA,"0","1","0","1",NA,NA,NA,NA,NA,"0",NA,NA,"0","1","0","1","1",NA,NA,"0",NA,NA,"0","1","0","0","1","0","1","0",NA,NA,NA,"1",NA,"0",NA,NA,NA,"0","0","0","1","0","1","0","0","0","1","1","0","1","1","1","1","0","1","0","1","1","0","1","0","1",NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,"0","1","1","1","1","1",NA,NA,"0","1","0","1","1","1","1","1","1","1","1","2","2","1","2","2"
"1026","koro1312","1","0","?","?","?","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","1","0","1","0","1","1","1","1","1","0","1","1","1","1","0","0","0","1","1","0","1","1","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","?","?","1","1","1","1","0",NA,NA,"?","1","?","1","0","1","1","1","0","1",NA,NA,"?","?","0","?","?",NA,NA,"?",NA,NA,"?",NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,"?",NA,"?",NA,NA,NA,"?","0","0","1","?","1","?","?","?","?","1",NA,NA,NA,NA,NA,NA,"?","?",NA,"?","?",NA,NA,"?",NA,NA,"?",NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"?",NA,NA,"?","?",NA,NA,NA,"?","?","1","0","1","1","?","?","1","1","2"
"1027","koro1313","?","?","0","0","1","0","?","0","0","1","0","0","?","0","0","1","1","?","?","?","?","?","0","1","?","0","?","0","?","1","0","?","0","?","?","?","?","0","?","?","?","0","0","?","?","?","?","?","?","?","?","1","?","?","0","1","?","?","1","0","0","?","?","?","?","?","?","?","?","0","0","0","?","?","1","0","0","1","0","0","0","0","1","?","1","?","1","0","1","0","1","1","0","?","0","0","?","?","?","1","1","1","1",NA,NA,"?","1","1","1","1","1","1","1","0","1",NA,NA,"?","?","1","1","1",NA,NA,"0",NA,NA,"0",NA,NA,NA,"?","0","1","0",NA,NA,NA,"1",NA,"0",NA,NA,NA,"0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","1","?","?","1",NA,NA,"?",NA,NA,"?","1","1","1","1","0","1","1","1","1","0","0","1","1","0","1","1","1","0","1","1","1","1","1","0","1","1","?","NA","1","?","?"
"1028","korr1238","?","0","?","?","?","0","0","1","0","1","?","?","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","?","?","1","0","?","?","?","?","?","?","0","?","?","1","0","0","0","?","?","0","1","?","?","?","?","0","1","?","?","?","1","1","0","0","0","0","?","0","?","?","?","0","1","0","0","0","0","0","0","?","1","0","?","0","0","0","1","0","1","1","0","0","0","0","1","1","?","?","0","?","0","?","1","0","1","1",NA,NA,"?","?","1","1","0","1","1","1","0","1",NA,NA,"?","?","?","0","?",NA,NA,"0","1","0","1",NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,"?",NA,"?",NA,NA,NA,"?","0","1","1","0","1","0","0","0","0","1","0","0","0","1","0","1","1","0","0","0","0",NA,NA,"?",NA,NA,"?",NA,NA,"0","1","1","1","1","1",NA,NA,NA,NA,"0",NA,NA,"0","?",NA,"?",NA,"?","0","1","0","1","1","?","1","1","1","1"
"1029","kosa1249","1","0","0","0","1","0","0","0","1","0","?","?","?","1","0","0","0","0","1","1","1","0","1","0","0","0","0","?","1","0","0","0","0","?","?","?","?","0","?","?","0","0","0","0","?","1","?","?","0","1","1","?","1","0","0","1","1","1","1","0","0","0","?","0","0","0","1","0","1","?","0","1","0","0","1","1","0","0","0","0","0","1","0","1","?","1","0","1","1","1","0","0","0","0","0","0","1","0","0","1","1","1","1",NA,NA,"0","1","1","1","1","1","1","1","0","1",NA,NA,"0","0","1","1","1",NA,NA,"0","1","0","1",NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,"0",NA,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"?","?",NA,"?","?",NA,NA,"0",NA,NA,"?",NA,NA,"0","1","1","1","1","1",NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,"0","0","1","0","1","1","2","2","1","2","2"
"1030","kosr1238","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","?","0","1","1","0","0","1","0","0","0","0","0","1","0","?","1","0","0","1","0","0","0","?","1","0","0","0","1","1","0","1","0","0","0","0","0","1","0","0","1","1","0","1","0","0","0","1","1","0","0","0","1","1","0","1","0","1","0","0","0","1","0","?","1","1","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1","1","1","1",NA,NA,NA,NA,NA,"0","1","1","1","1","0","0","1","0","1",NA,NA,"?","1","1","1","1","1","0","1",NA,NA,"0","0","1","0","1","0","0","1",NA,NA,NA,"1",NA,"0","1","0","1","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","1","1",NA,NA,"0",NA,NA,"0","0","1","0","1","1","1","0","0","1","1",NA,NA,"0","?","1","1","0","?","0","0","1","1","1","2","1","2","2","NA"
"1031","kota1263","?","0","?","?","?","0","0","1","0","1","?","?","0","0","0","0","1","0","1","0","?","0","0","0","0","0","0","?","?","?","0","0","?","1","?","0","?","0","?","0","?","0","0","0","?","?","0","1","?","0","1","?","?","1","0","1","1","1","1","0","0","0","0","?","0","?","0","0","0","1","0","0","0","0","0","0","1","1","0","0","?","1","0","1","1","1","0","0","0","0","0","1","1","0","?","0","0","0","1","1","0","1","1",NA,NA,"0","1","1","1","0","1","1","1","0","1",NA,NA,"?","?","0","0","?","0","1","1","1","0","1",NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,"?",NA,"?",NA,NA,NA,"0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","0","1","1","0","0","0","0",NA,NA,"?",NA,NA,"0",NA,NA,"0","1","1","1","1","1",NA,NA,NA,NA,"0",NA,NA,"0","0","0","1",NA,"0","1","1","0","1","1","2","1","1","1","1"
"1032","koti1238","?","0","0","0","1","0","0","1","0","0","1","0","?","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","?","0","0","0","0","1","0","1","?","1","0","0","0","0","1","0","1","?","0","?","0","0","0","1","0","0","1","0","1","0","0","?","0","0","0","0","?","1","1","0","1","0","0","1","1","0","1","0","?","0","0","0","1","1","1","0","0","0","1","0","0","0","0","0","0","1","0","1","1","0","1","0",NA,NA,"0","1","1","1","1","1","1","0","1","1",NA,NA,"0","0","1","1","1",NA,NA,"?","0","1","1",NA,NA,NA,"0",NA,NA,NA,NA,"1",NA,"0","0","1","1","0","1","1","0","?","1","0","1","0","0","0","1","1","1","1","0","1","0","0","1","0","0","0","0",NA,NA,"?",NA,NA,"0",NA,NA,"0","0","1","1","1","1",NA,NA,NA,NA,"0",NA,NA,"0","1","1","1",NA,"1","1","0","1","1","1","2","2","2","2","2"
"1033","kova1243","?","?","?","?","?","?","?","1","?","?","?","?","?","0","1","1","0","0","0","1","?","?","?","0","?","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","0","?","1","1","?","0","?","1","?","?","?","?","?","?","?","?","1","0","0","?","?","?","?","?","?","?","?","?","?","?","0","0","0","?","?","0","0","?","?","1","?","?","?","?","?","0","0","1","1","0","0","?","?","?","?","1","?","1","0","1","1",NA,NA,"?","?","1","1","1","1","1","1","0","1",NA,NA,"0","?","0","?","?","1","0","1",NA,NA,"0",NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,"?",NA,"?",NA,NA,NA,"?","?","?","0","1","1","0","0","?","?","1",NA,NA,NA,NA,NA,NA,"0","?",NA,"?","?",NA,NA,"?",NA,NA,"?",NA,NA,"?","1","1","1","1","1",NA,NA,NA,NA,"?",NA,NA,"?","?",NA,NA,NA,"?","?",NA,NA,"?","1","2","1","NA","2","2"
"1034","kove1237","1","0","0","0","1","0","?","1","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","1","0","1","0","1","0","0","?","1","1","0","0","?","0","0","0","?","0","0","0","0","1","0","1","0","0","0","0","1","1","0","1","1","1","0","1","0","0","0","0","?","?","?","1","0","1","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","1","?","0","0","1","1","0","1","1","0","0","1","1","0","1",NA,NA,NA,NA,NA,"?","1","1","1","1","1","1","1","1","1",NA,NA,"0","1","1","1","0","1","1","1",NA,NA,"0","1","0","0","1",NA,NA,NA,NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","1",NA,NA,NA,NA,NA,NA,"0","?",NA,"?","?",NA,NA,"?",NA,NA,"0",NA,NA,"?","0","1","0","1","1","1","1","0","1","1",NA,NA,"0","1",NA,NA,"0","1","1","1","1","1","1","?","2","1","2","2"
"1035","koya1251","?","0","?","?","1","0","0","1","0","1","0","?","?","0","0","0","1","?","?","?","?","1","?","?","0","?","0","0","0","0","?","?","?","0","0","0","0","?","?","?","?","0","0","0","0","?","0","1","0","0","?","0","0","1","0","1","?","?","1","0","0","0","0","?","0","?","0","0","?","1","0","?","0","?","?","0","0","1","0","?","?","0","0","?","?","?","0","0","0","0","0","1","1","?","0","0","0","0","0","1","0","1","0",NA,NA,"?","0","1","1","?","1","1","1","0","1",NA,NA,"?","1","0","?","1",NA,NA,"0","1","0","1",NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,"?",NA,"?",NA,NA,NA,"?","0","1","1","0","1","0","0","0","0","1","1","1","0","1","0","0","1","?","?","?","?",NA,NA,"?",NA,NA,"0",NA,NA,"0","1","1","1","1","1",NA,NA,NA,NA,"0",NA,NA,"0","0","1","1",NA,"0","0","1","0","1","1","2","1","1","1","1"
"1036","koyr1240","1","0","0","0","?","0","?","?","?","?","?","?","?","0","0","0","1","0","0","1","0","0","?","0","0","0","0","0","1","0","0","0","1","1","0","0","1","0","0","1","1","0","0","1","?","?","0","1","0","0","?","?","1","1","1","0","1","1","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","1","0","0","0","?","1","0",NA,NA,NA,NA,NA,"0","?","?","1",NA,NA,NA,NA,NA,"0",NA,NA,"?","1","0","1","0",NA,NA,"?",NA,NA,"?","1","0","1","1","0","1","?",NA,NA,NA,"1",NA,"0","0","0","1","1","0","0","1","1","1","0","0","0","0","1",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0",NA,NA,"?",NA,NA,"0",NA,NA,"0","1","1","0","1","1","1","0","0","1","1",NA,NA,"0","0",NA,NA,"0","0","0","1","1","1","1","2","2","1","2","2"
"1037","koyr1242","1","0","0","0","?","0","?","?","?","?","?","?","?","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","1","0","1","0","?","0","0","1","0","0","0","1","0","0","0","1","?","1","0","0","0","1","1","1","0","0","?","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","1","0","0","0","0","0","0","?","?","1","0",NA,NA,NA,NA,NA,"0","1","1","1",NA,NA,NA,NA,NA,"0",NA,NA,"0","1","0","1","1",NA,NA,"?",NA,NA,"?","1","1","0","1","0","1","1",NA,NA,NA,"1",NA,"0",NA,NA,NA,"?","0","0","1","?","1","0","0","0","1","1",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0",NA,NA,"?",NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,"?","1","0","0","1","1","0","1","1","1",NA,NA,"0","?","1","1","1","1","1","2","2","1","2","2"
"1038","koys1242","?","0","0","0","1","0","0","1","0","0","0","0","0","?","0","0","1","0","0","1","1","0","0","1","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","0","1","0","0","0","?","?","0","1","?","?","?","0","?","0","1","1","0","1","1","?","0","0","?","1","?","?","?","?","1","?","0","0","0","?","1","0","1","1","1","0","0","0","0","?","?","?","0","0","0","0","0","0","0","?","0","1","1","0","0","1","0","1","0",NA,NA,"?","0","1","1","1","1","1","1","0","1",NA,NA,"0","1","0","1","1","1","0","1",NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,"0","0","1","0","1","0","1","1","1","1","0","0","0","1","1","0","0","?","0","0","1","1","1","0","?","1","0","1","1","0","1","1",NA,NA,"0",NA,NA,NA,NA,"0","1","1","1","1","1",NA,NA,"?","1","0","1","1","1","1","0","1","1","1","1","2","2","1","1"
"1039","kren1239","1","0","0","0","1","0","0","1","0","0","?","?","?","?","?","?","?","?","?","?","0","0","0","0","?","0","?","?","1","0","?","?","1","1","?","?","?","?","1","0","?","0","0","0","?","?","?","1","?","?","?","?","0","1","0","1","1","?","1","0","0","?","0","?","?","?","?","?","1","1","?","?","0","?","0","0","?","0","?","0","?","?","0","?","?","?","0","?","?","?","0","0","1","1","?","?","?","1","?","?",NA,NA,NA,NA,NA,"?","1","1","1","0","1","1","0","1","1",NA,NA,"?","?","?","?","?","0","1","1",NA,NA,"0","1","1","0","1",NA,NA,NA,NA,NA,NA,"0",NA,"0",NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,"?","0",NA,"0","0",NA,NA,"?","1","?","1",NA,NA,"0","?","1","1","1","1",NA,NA,NA,NA,"?",NA,NA,"?",NA,NA,NA,NA,"?","?","1","0","1","1","?","2","1","2","2"
"1040","krim1238","0","0","0","?","?","?","1","1","0","0","?","?","?","0","1","1","1","?","?","1","?","0","0","0","0","0","1","?","1","0","0","?","0","0","0","0","1","0","1","1","1","0","0","?","?","0","?","1","?","?","?","?","?","1","1","0","?","?","1","1","0","0","?","1","?","?","0","?","?","1","?","0","0","1","1","?","0","?","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","?","0","1","1","1","0","1","0",NA,NA,"0","1","1","1",NA,NA,NA,NA,NA,"0",NA,NA,"?","?","0","?","?",NA,NA,"0",NA,NA,"0",NA,NA,NA,"?","0","0","1",NA,NA,NA,"1",NA,"0",NA,NA,NA,"0","?","1","1","0","1","0","0","0","1","1","0","1","0","1","0","0","1","?","?","?","?",NA,NA,"?","0","1","1",NA,NA,"0",NA,NA,NA,NA,"?","1","0","0","1","1",NA,NA,"0","1","1","1","0","1","0","1","1","1","1","2","2","NA","2","2"
"1041","kris1246","1","0","?","?","?","1","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","?","?","?","?","0","?","?","?","?","?","?","0","?","?","?","?","?","?","0","1","0","0","0","0","0","1","1","1","0","1","?","1","1","0","0","0","1","?","0","1","0","1","0","0","1","0","0","0","1","?","0","0","0","0","?","0","0","0","0","0","0","0","0","0","1","1","0","1","0",NA,NA,"?","0","?",NA,NA,NA,NA,NA,"?","?","?","?","1","1","1","1","1","1",NA,NA,"?","?","0","?","?",NA,NA,"?",NA,NA,"?",NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,"?",NA,"?",NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,NA,"?","?","?","0","0","0","1","1","?","?","?","?",NA,NA,"?",NA,NA,"?",NA,NA,"0","1","0","0","1","1",NA,NA,NA,NA,"?",NA,NA,"?",NA,NA,"?",NA,"?","?","1","0","1","1","?","?","2","2","2"
"1042","kron1241","?","?","?","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","0","0","0","?","?","?","?","0","0","?","?","1","?","?","0","0","?","?","?","1","1","1","1","0","0","0","1","0","?","?","?","?","?","1","?","1","?","?","0","?","1","0","1","0","?","1","1","?","?","1","1","1","1","?","0","1","0","1","1","0","?","?","?","?","1","1","0","1","?",NA,NA,"?","1","?","1","?","?","1","?","1","1",NA,NA,"?","?","1","1","1",NA,NA,"?",NA,NA,"?",NA,NA,NA,"?","?","1","0",NA,NA,NA,"1",NA,"?","?","?","1","1","?","?","1","?","1","?","?","?","1","1","1","?","0","0","0","1","1","1","?","?","1",NA,NA,"?","0","1","1",NA,NA,"?","0","1","1","1","1",NA,NA,NA,NA,"?",NA,NA,"?","1","?","1",NA,"?","1","1","1","1","2","?","?","?","2","2"
"1043","kryt1240","1","0","0","0","?","0","?","?","?","?","?","?","?","0","1","0","1","0","1","0","1","1","0","0","0","0","?","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","0","1","1","0","0","1","1","1","0","0","0","0","1","0","1","?","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","?","?","1","1","0","0","1","0","0","1","1","0","1","1","?","?","1","?","1","?",NA,NA,"?","1","1","1","1","0","1","1","1","1","1","0","1","1","0","1","1",NA,NA,"?",NA,NA,"?","0","0","1","1","0","1","0",NA,NA,NA,"1",NA,"0",NA,NA,NA,"0","0","1","1","0","1","0","0","0","0","1","0","0","0","?","0","1","1","0","0","0","0",NA,NA,"?",NA,NA,"0",NA,NA,"0","1","1","1","1","1",NA,NA,NA,NA,"0",NA,NA,"0","1","1","1",NA,"0","1","1","0","1","1","1","1","1","1","1"
"1044","kuan1247","1","0","?","?","0","0","0","1","0","0","0","0","?","0","0","1","1","0","0","1","0","0","1","1","0","1","0","0","0","0","0","0","?","?","?","?","?","0","0","0","0","0","0","0","0","1","0","1","?","0","1","0","0","0","1","0","1","?","0","1","0","0","0","1","0","0","0","0","1","1","0","1","0","1","1","1","1","1","0","0","0","0","0","1","1","1","1","0","0","1","0","0","0","0","0","0","1","0","0","1","1","1","1",NA,NA,"0","0","1","1","1","1","1","1","1","1",NA,NA,"?","0","1","1","1",NA,NA,"0","0","1","1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"?",NA,"?","1","0","1","1","0","0","1","1","1","0","0","0","1","1","0","0","0","1","0","0","1","0","1","1","1","1","0","1",NA,NA,"?",NA,NA,"0","0","1","1","1","1",NA,NA,NA,NA,"0",NA,NA,"0","1","1","1",NA,"1","1",NA,NA,"?","1","2","2","2","2","2"
"1045","kuan1248","1","0","0","0","1","0","?","1","0","0","0","0","?","0","0","1","1","0","0","1","1","?","?","0","0","0","?","0","1","0","0","1","1","?","?","?","?","0","0","1","?","0","0","0","1","1","0","1","0","0","0","0","0","1","0","1","1","1","0","1","0","0","0","0","1","?","1","1","0","1","0","0","0","?","0","0","0","0","1","0","1","1","1","1","?","0","?","0","0","?","1","0","1","0","0","0","0","1","1","1",NA,NA,NA,NA,NA,"?","1","1","1",NA,NA,NA,NA,NA,"0",NA,NA,"0","1","1","1","0","1","0","1",NA,NA,"0","1","0","0","1",NA,NA,NA,NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","1",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0",NA,NA,"?",NA,NA,"?",NA,NA,"0","0","1","0","1","1","0","1","1","1","1","0","1","1","1",NA,NA,"0","1","0","0","1","1","NA","?","NA","NA","1","1"
